run.number,date_time.run,process.count,random.seed,human.count,zombie.count,min.x,min.y,max.x,max.y,proc.per.x,proc.per.y,grid.buffer,init.time,stop.at,run.time
,16.10.2017 12:16:28,4.000000,1508170588,500;,5;,-100,-100,99,99,2,2,2,0.017734,10,1.181107
,18.10.2017 08:55:36,4.000000,1508331336,500;,5;,-100,-100,99,99,2,2,2,0.01678,10,1.155639
,18.10.2017 09:33:20,4.000000,1508333600,500;,5;,-100,-100,99,99,2,2,2,0.018538,10,1.174882
,19.10.2017 13:52:40,1.000000,1508435561,500;,5;,-100,-100,99,99,1,1,1,0.033603,10,1.005633
